id;nombre;cadena;ciudad;direccion
1;acompasada;Jefe index;Sector XSS Paradigma;Persistente
2;Andalucía;funcionalidad Ladrillo envisioneer;Clonado up;pixel Artesanal
3;microchip connecting;Papelería;Marca;Bacon
4;Raton microchip Suriname;dinámica;valor Relacciones;Amarillo proactive Bacon
5;Rojo EXE;Saudí Bedfordshire;Bhutanese;fritas
6;Fantástico JBOD Relacciones;RAM Ensalada;política óptima Vasco;Morado Pequeño
7;infrastructures monitor;paralelismo Explanada;Sopa Refinado;deploy
8;deposit Avon;circuit monitor Berkshire;Ladrillo;deliver
9;Hormigon;Madera;card Joyería connecting;leverage Muelle Gerente
10;Algodón;Arroyo Configuración indexing;de enable;Práctico Savings
